1,2,3,4,5,6,7,8,9,10
27,26,29,22,22,26,28,30,19,22
22,19,26,27,25,31,22,22,29,28
29,40,34,32,26,29,23,28,16,22
30,32,22,30,16,28,15,24,25,24
27,19,25,29,24,24,42,25,28,27
36,35,28,23,17,27,25,22,25,23
35,31,29,32,28,37,33,15,22,31
27,21,31,23,34,30,31,18,22,18
33,19,27,24,21,34,25,28,18,27
30,26,37,28,32,24,21,36,30,23
23,24,21,26,24,24,24,15,30,19
25,28,25,26,21,24,22,34,29,29
28,35,31,28,25,26,29,33,24,19
28,30,27,29,15,32,18,19,24,25
24,18,32,21,38,26,28,25,33,24
32,19,22,26,33,28,27,24,27,31
20,26,27,23,32,23,30,20,25,26
15,30,38,27,28,26,22,34,22,34
25,20,25,25,30,26,19,31,17,20
26,24,27,30,19,25,25,21,26,29
